iter	Passed	Remaining
0	21	21645
1	47	23832
2	69	23033
3	89	22400
4	122	24384
5	145	24158
6	173	24665
7	199	24754
8	228	25123
9	248	24628
10	265	23849
11	287	23637
12	309	23503
13	341	24050
14	368	24229
15	397	24474
16	420	24324
17	440	24019
18	462	23895
19	487	23894
20	516	24068
21	540	24048
22	560	23815
23	586	23837
24	611	23832
25	643	24115
26	666	24022
27	699	24293
28	725	24298
29	755	24412
30	788	24653
31	821	24836
32	843	24708
33	857	24376
34	887	24472
35	915	24522
36	948	24675
37	970	24566
38	989	24392
39	1015	24365
40	1037	24272
41	1068	24372
42	1088	24221
43	1114	24208
44	1141	24229
45	1169	24263
46	1197	24274
47	1219	24193
48	1241	24090
49	1254	23839
50	1279	23811
51	1299	23691
52	1321	23612
53	1335	23403
54	1357	23325
55	1384	23346
56	1410	23328
57	1431	23241
58	1459	23271
59	1472	23075
60	1487	22900
61	1509	22843
62	1530	22767
63	1551	22689
64	1578	22700
65	1603	22689
66	1622	22600
67	1647	22582
68	1673	22575
69	1697	22550
70	1721	22525
71	1751	22574
72	1770	22478
73	1795	22463
74	1822	22480
75	1842	22403
76	1872	22444
77	1897	22424
78	1923	22418
79	1950	22426
80	1975	22412
81	1989	22268
82	2010	22216
83	2037	22218
84	2063	22211
85	2079	22098
86	2091	21949
87	2102	21790
88	2122	21725
89	2144	21680
90	2164	21624
91	2185	21566
92	2215	21604
93	2241	21608
94	2271	21639
95	2293	21595
96	2320	21602
97	2337	21516
98	2357	21457
99	2386	21479
100	2403	21389
101	2422	21326
102	2446	21307
103	2472	21300
104	2498	21299
105	2515	21212
106	2540	21202
107	2563	21170
108	2584	21130
109	2601	21047
110	2622	21003
111	2644	20964
112	2657	20860
113	2678	20815
114	2699	20774
115	2719	20724
116	2731	20614
117	2751	20567
118	2770	20509
119	2791	20467
120	2817	20466
121	2839	20435
122	2858	20382
123	2878	20333
124	2895	20271
125	2906	20162
126	2926	20117
127	2946	20072
128	2970	20054
129	2990	20016
130	3011	19977
131	3036	19969
132	3062	19963
133	3089	19966
134	3121	19997
135	3143	19973
136	3162	19919
137	3175	19837
138	3195	19796
139	3218	19767
140	3250	19800
141	3270	19760
142	3289	19716
143	3307	19658
144	3334	19659
145	3360	19654
146	3379	19612
147	3396	19553
148	3417	19518
149	3439	19490
150	3462	19470
151	3487	19456
152	3512	19443
153	3538	19438
154	3560	19409
155	3580	19370
156	3601	19340
157	3630	19345
158	3658	19353
159	3676	19303
160	3696	19261
161	3709	19190
162	3732	19163
163	3756	19151
164	3787	19168
165	3812	19155
166	3831	19112
167	3853	19083
168	3874	19052
169	3895	19020
170	3915	18980
171	3938	18960
172	3959	18927
173	3980	18895
174	3998	18852
175	4025	18845
176	4048	18822
177	4074	18814
178	4092	18772
179	4112	18733
180	4133	18701
181	4150	18652
182	4179	18660
183	4198	18620
184	4214	18568
185	4237	18546
186	4263	18535
187	4292	18540
188	4318	18528
189	4335	18482
190	4350	18426
191	4363	18364
192	4383	18328
193	4400	18280
194	4417	18237
195	4445	18235
196	4458	18172
197	4477	18134
198	4502	18124
199	4522	18088
200	4537	18036
201	4561	18021
202	4581	17986
203	4601	17953
204	4632	17964
205	4652	17933
206	4671	17896
207	4692	17866
208	4704	17805
209	4716	17743
210	4738	17717
211	4758	17686
212	4780	17663
213	4805	17649
214	4837	17663
215	4868	17670
216	4880	17610
217	4899	17574
218	4920	17546
219	4943	17525
220	4957	17473
221	4975	17436
222	4992	17393
223	5016	17378
224	5032	17332
225	5045	17279
226	5065	17249
227	5084	17214
228	5098	17164
229	5111	17113
230	5126	17064
231	5139	17012
232	5155	16971
233	5174	16937
234	5186	16884
235	5209	16865
236	5220	16806
237	5242	16784
238	5264	16761
239	5281	16724
240	5307	16714
241	5333	16705
242	5364	16713
243	5379	16666
244	5399	16637
245	5419	16610
246	5445	16602
247	5463	16566
248	5475	16514
249	5492	16477
250	5510	16443
251	5528	16411
252	5544	16370
253	5571	16362
254	5598	16355
255	5622	16339
256	5639	16304
257	5660	16279
258	5689	16277
259	5708	16248
260	5733	16232
261	5749	16193
262	5768	16164
263	5792	16148
264	5812	16121
265	5830	16088
266	5861	16091
267	5887	16080
268	5913	16070
269	5937	16052
270	5956	16023
271	5969	15978
272	5984	15937
273	6002	15904
274	6023	15879
275	6042	15851
276	6068	15840
277	6084	15803
278	6104	15776
279	6128	15760
280	6144	15723
281	6168	15704
282	6197	15700
283	6215	15669
284	6235	15644
285	6258	15625
286	6279	15600
287	6297	15568
288	6317	15543
289	6339	15520
290	6358	15491
291	6381	15472
292	6401	15447
293	6412	15399
294	6435	15379
295	6455	15352
296	6473	15323
297	6494	15298
298	6520	15286
299	6539	15259
300	6559	15233
301	6583	15216
302	6607	15198
303	6627	15174
304	6643	15138
305	6671	15131
306	6706	15138
307	6727	15115
308	6748	15090
309	6767	15062
310	6780	15022
311	6801	14998
312	6830	14993
313	6841	14946
314	6858	14913
315	6876	14884
316	6900	14866
317	6924	14849
318	6949	14834
319	6973	14819
320	6988	14781
321	7013	14767
322	7031	14737
323	7047	14703
324	7067	14678
325	7081	14641
326	7103	14619
327	7120	14588
328	7146	14575
329	7166	14549
330	7185	14522
331	7201	14490
332	7225	14473
333	7247	14452
334	7274	14440
335	7302	14431
336	7322	14406
337	7341	14379
338	7362	14355
339	7384	14334
340	7397	14295
341	7409	14256
342	7436	14244
343	7455	14217
344	7477	14195
345	7492	14161
346	7512	14136
347	7527	14103
348	7549	14082
349	7566	14052
350	7587	14028
351	7601	13993
352	7616	13959
353	7640	13942
354	7669	13935
355	7700	13930
356	7712	13891
357	7742	13884
358	7769	13871
359	7791	13851
360	7822	13846
361	7853	13840
362	7878	13825
363	7891	13789
364	7922	13783
365	7937	13749
366	7957	13724
367	7978	13702
368	8000	13680
369	8011	13640
370	8034	13621
371	8054	13597
372	8074	13572
373	8094	13548
374	8120	13534
375	8143	13515
376	8158	13481
377	8181	13462
378	8196	13429
379	8211	13398
380	8232	13374
381	8261	13365
382	8289	13354
383	8315	13338
384	8334	13313
385	8348	13280
386	8369	13257
387	8386	13228
388	8403	13199
389	8422	13173
390	8447	13158
391	8474	13144
392	8491	13115
393	8511	13091
394	8534	13072
395	8553	13046
396	8580	13033
397	8608	13020
398	8626	12994
399	8651	12977
400	8683	12970
401	8707	12953
402	8733	12937
403	8764	12929
404	8784	12905
405	8807	12886
406	8831	12867
407	8857	12852
408	8877	12828
409	8903	12812
410	8923	12788
411	8943	12763
412	8958	12732
413	8983	12715
414	9004	12692
415	9022	12665
416	9033	12629
417	9054	12607
418	9065	12571
419	9084	12544
420	9105	12522
421	9128	12502
422	9148	12478
423	9172	12461
424	9197	12444
425	9220	12423
426	9242	12402
427	9264	12382
428	9276	12347
429	9307	12337
430	9333	12322
431	9364	12312
432	9391	12298
433	9415	12279
434	9442	12264
435	9472	12253
436	9497	12236
437	9511	12204
438	9531	12180
439	9552	12157
440	9572	12134
441	9592	12110
442	9617	12092
443	9640	12072
444	9666	12055
445	9685	12030
446	9708	12011
447	9735	11995
448	9755	11971
449	9784	11959
450	9815	11948
451	9840	11930
452	9861	11907
453	9877	11878
454	9900	11859
455	9929	11845
456	9945	11816
457	9968	11797
458	9986	11771
459	10017	11759
460	10043	11742
461	10066	11721
462	10090	11703
463	10103	11671
464	10115	11638
465	10135	11614
466	10156	11591
467	10177	11569
468	10196	11544
469	10219	11524
470	10245	11506
471	10273	11492
472	10289	11464
473	10315	11446
474	10337	11425
475	10362	11407
476	10384	11386
477	10408	11367
478	10431	11346
479	10454	11326
480	10474	11301
481	10494	11278
482	10512	11252
483	10540	11237
484	10572	11226
485	10596	11206
486	10624	11191
487	10642	11165
488	10670	11150
489	10695	11132
490	10714	11106
491	10738	11087
492	10763	11069
493	10776	11038
494	10788	11006
495	10808	10982
496	10827	10958
497	10838	10925
498	10857	10900
499	10876	10876
500	10900	10857
501	10929	10842
502	10942	10812
503	10974	10800
504	11004	10786
505	11029	10768
506	11059	10753
507	11082	10733
508	11093	10701
509	11112	10676
510	11133	10653
511	11155	10632
512	11171	10604
513	11196	10586
514	11215	10561
515	11240	10543
516	11258	10517
517	11278	10494
518	11300	10472
519	11320	10449
520	11343	10428
521	11363	10405
522	11382	10381
523	11402	10357
524	11428	10340
525	11455	10322
526	11467	10292
527	11489	10271
528	11508	10246
529	11529	10223
530	11548	10200
531	11559	10168
532	11573	10140
533	11591	10115
534	11609	10090
535	11628	10066
536	11649	10044
537	11672	10023
538	11694	10001
539	11707	9973
540	11727	9950
541	11755	9934
542	11784	9918
543	11803	9894
544	11824	9872
545	11848	9852
546	11873	9832
547	11898	9814
548	11924	9795
549	11944	9772
550	11961	9746
551	11987	9728
552	12005	9704
553	12024	9680
554	12039	9653
555	12065	9634
556	12084	9611
557	12103	9587
558	12123	9564
559	12144	9541
560	12167	9521
561	12190	9500
562	12209	9476
563	12228	9452
564	12247	9429
565	12267	9406
566	12295	9389
567	12316	9367
568	12341	9348
569	12363	9327
570	12388	9307
571	12416	9290
572	12437	9268
573	12455	9244
574	12481	9225
575	12510	9209
576	12539	9192
577	12565	9173
578	12582	9148
579	12610	9131
580	12643	9117
581	12671	9100
582	12694	9079
583	12716	9058
584	12728	9029
585	12754	9010
586	12769	8984
587	12783	8957
588	12813	8941
589	12842	8924
590	12862	8901
591	12873	8872
592	12889	8846
593	12908	8822
594	12920	8794
595	12943	8773
596	12962	8750
597	12984	8728
598	13007	8707
599	13030	8686
600	13055	8667
601	13074	8644
602	13098	8623
603	13125	8605
604	13151	8586
605	13170	8563
606	13186	8537
607	13210	8517
608	13238	8499
609	13265	8480
610	13291	8462
611	13323	8446
612	13345	8425
613	13366	8402
614	13384	8378
615	13406	8357
616	13427	8334
617	13447	8312
618	13465	8288
619	13489	8267
620	13511	8246
621	13532	8223
622	13545	8196
623	13566	8174
624	13596	8157
625	13623	8139
626	13643	8116
627	13663	8093
628	13690	8074
629	13718	8056
630	13728	8028
631	13757	8010
632	13776	7987
633	13799	7966
634	13819	7943
635	13841	7921
636	13858	7897
637	13878	7874
638	13902	7854
639	13928	7834
640	13944	7809
641	13964	7786
642	13991	7768
643	14021	7750
644	14032	7723
645	14057	7703
646	14083	7683
647	14113	7666
648	14139	7646
649	14153	7621
650	14178	7601
651	14204	7581
652	14224	7558
653	14243	7535
654	14262	7512
655	14281	7488
656	14301	7466
657	14329	7447
658	14353	7427
659	14374	7404
660	14401	7385
661	14424	7364
662	14447	7343
663	14467	7320
664	14495	7302
665	14525	7284
666	14546	7262
667	14573	7243
668	14592	7219
669	14605	7193
670	14623	7170
671	14642	7147
672	14669	7127
673	14693	7106
674	14718	7086
675	14748	7068
676	14770	7046
677	14793	7025
678	14816	7004
679	14826	6977
680	14845	6953
681	14868	6932
682	14885	6908
683	14906	6886
684	14927	6864
685	14939	6838
686	14958	6815
687	14980	6793
688	14999	6770
689	15014	6745
690	15036	6723
691	15057	6701
692	15073	6677
693	15100	6658
694	15121	6636
695	15141	6613
696	15156	6589
697	15177	6566
698	15199	6545
699	15221	6523
700	15240	6500
701	15256	6476
702	15278	6454
703	15298	6432
704	15325	6412
705	15338	6387
706	15366	6368
707	15390	6347
708	15409	6324
709	15430	6302
710	15456	6282
711	15480	6261
712	15505	6241
713	15534	6222
714	15550	6198
715	15574	6177
716	15606	6159
717	15640	6142
718	15663	6121
719	15684	6099
720	15714	6080
721	15744	6062
722	15771	6042
723	15804	6024
724	15830	6004
725	15850	5982
726	15876	5961
727	15901	5941
728	15923	5919
729	15950	5899
730	15972	5877
731	15996	5856
732	16020	5835
733	16040	5813
734	16067	5792
735	16081	5768
736	16102	5746
737	16124	5724
738	16150	5703
739	16164	5679
740	16186	5657
741	16207	5635
742	16225	5612
743	16245	5589
744	16269	5568
745	16289	5546
746	16312	5524
747	16335	5503
748	16351	5479
749	16373	5457
750	16392	5435
751	16416	5414
752	16430	5389
753	16446	5365
754	16464	5342
755	16480	5319
756	16498	5296
757	16520	5274
758	16545	5253
759	16576	5234
760	16596	5212
761	16606	5186
762	16627	5164
763	16644	5141
764	16663	5118
765	16685	5097
766	16705	5074
767	16729	5053
768	16755	5033
769	16775	5010
770	16790	4986
771	16817	4966
772	16846	4947
773	16865	4924
774	16888	4903
775	16915	4882
776	16934	4860
777	16946	4835
778	16967	4813
779	16998	4794
780	17028	4774
781	17051	4753
782	17079	4733
783	17107	4713
784	17127	4690
785	17153	4670
786	17186	4651
787	17217	4632
788	17241	4610
789	17260	4588
790	17290	4568
791	17318	4548
792	17335	4525
793	17364	4505
794	17392	4484
795	17416	4463
796	17433	4440
797	17460	4419
798	17481	4397
799	17505	4376
800	17534	4356
801	17565	4336
802	17592	4316
803	17612	4293
804	17634	4271
805	17656	4249
806	17677	4227
807	17699	4205
808	17726	4185
809	17746	4162
810	17771	4141
811	17795	4120
812	17822	4099
813	17845	4077
814	17866	4055
815	17885	4033
816	17907	4011
817	17923	3987
818	17941	3965
819	17961	3942
820	17979	3920
821	18000	3897
822	18027	3877
823	18037	3852
824	18051	3829
825	18071	3806
826	18092	3784
827	18109	3761
828	18129	3739
829	18140	3715
830	18160	3693
831	18184	3671
832	18206	3650
833	18234	3629
834	18253	3607
835	18279	3585
836	18299	3563
837	18320	3541
838	18343	3519
839	18366	3498
840	18388	3476
841	18409	3454
842	18428	3432
843	18456	3411
844	18479	3389
845	18494	3366
846	18510	3343
847	18537	3322
848	18567	3302
849	18591	3280
850	18611	3258
851	18633	3236
852	18665	3216
853	18691	3195
854	18722	3175
855	18745	3153
856	18762	3130
857	18782	3108
858	18799	3085
859	18821	3064
860	18848	3042
861	18872	3021
862	18892	2999
863	18914	2977
864	18935	2955
865	18961	2934
866	18980	2911
867	19000	2889
868	19026	2868
869	19052	2846
870	19083	2826
871	19110	2805
872	19139	2784
873	19170	2763
874	19190	2741
875	19208	2719
876	19230	2697
877	19252	2675
878	19277	2653
879	19298	2631
880	19326	2610
881	19350	2588
882	19366	2566
883	19388	2544
884	19417	2523
885	19432	2500
886	19452	2478
887	19467	2455
888	19488	2433
889	19511	2411
890	19530	2389
891	19554	2367
892	19584	2346
893	19610	2325
894	19628	2302
895	19653	2281
896	19683	2260
897	19702	2237
898	19720	2215
899	19742	2193
900	19766	2171
901	19780	2149
902	19800	2126
903	19820	2104
904	19839	2082
905	19864	2060
906	19892	2039
907	19912	2017
908	19938	1996
909	19960	1974
910	19986	1952
911	20007	1930
912	20029	1908
913	20049	1886
914	20076	1865
915	20103	1843
916	20123	1821
917	20142	1799
918	20163	1777
919	20186	1755
920	20205	1733
921	20222	1710
922	20241	1688
923	20269	1667
924	20292	1645
925	20317	1623
926	20338	1601
927	20355	1579
928	20373	1557
929	20393	1534
930	20419	1513
931	20440	1491
932	20452	1468
933	20480	1447
934	20504	1425
935	20531	1403
936	20543	1381
937	20565	1359
938	20584	1337
939	20609	1315
940	20635	1293
941	20649	1271
942	20679	1249
943	20701	1228
944	20727	1206
945	20746	1184
946	20768	1162
947	20786	1140
948	20805	1118
949	20825	1096
950	20847	1074
951	20865	1052
952	20887	1030
953	20911	1008
954	20938	986
955	20958	964
956	20978	942
957	21004	920
958	21036	899
959	21060	877
960	21094	856
961	21124	834
962	21139	812
963	21165	790
964	21188	768
965	21207	746
966	21235	724
967	21257	702
968	21282	680
969	21302	658
970	21327	636
971	21352	615
972	21374	593
973	21402	571
974	21434	549
975	21463	527
976	21493	505
977	21519	484
978	21545	462
979	21570	440
980	21593	418
981	21618	396
982	21638	374
983	21658	352
984	21679	330
985	21699	308
986	21728	286
987	21750	264
988	21773	242
989	21798	220
990	21819	198
991	21839	176
992	21857	154
993	21882	132
994	21903	110
995	21923	88
996	21946	66
997	21975	44
998	21992	22
999	22015	0
